time[s],xPos[m],yPos[m],zPos[m],speed[m/s],speed protern[m/s],acceleration[m/s^2],vx[m/s],vy[m/s],vz[m/s],ax[m/s^2],ay[m/s^2],az[m/s^2],aCourse[m/s^2],aCentripetal[m/s^2],Ekin[J],Epot [J],Pkin[W],Ppot[W],Curvature
15.5,140.520419660458,135.791140655293,1685.51,13.5289695635219,12.7916666666667,14.5067540385841,13.1025955182493,2.66180043756577,-2.06635586635745,6.57130549506854,-12.575920016752,3.01829298755337,3.42891606683878,14.4719798524565,7363.39165287327,21842.5572587407,1419.24528595149,-1810.42328198542,0.077011728044252
15.6,142.036408638952,136.124758059261,1685.57,13.6375917954071,13.0361111111111,6.11335114360752,13.3832823066318,1.69228045020339,-2.00196192696279,1.70939880869516,-5.8354281204553,0.631503419530279,0.860704754770601,6.11331891370325,7463.15821314714,21670.1024895104,8.03651559292921,-1683.73840644168,0.0325429126648179
15.7,143.345670117308,136.158143620141,1685.41,13.4136405444564,12.7194444444444,2.62502911671566,13.1534659260371,1.65523305974388,-2.04261849262032,-1.93390771603183,1.23775495333909,-1.27229771868148,-1.54991461200226,2.49174356203619,7211.0956037809,21502.7150769227,-1171.52853611211,-1669.23247102531,0.0117749574278012
15.8,144.608990892003,136.380557403987,1685.25,13.115773413531,12.6583333333333,6.96369615424484,12.7412020148268,2.31754793963631,-2.07707847707958,-3.20722829104717,5.81490964090674,-2.09608603970372,-1.75619658719526,6.87374530261747,6911.59983996457,21326.3088671326,-1510.36154708432,-1768.97798066739,0.0391725985877469
15.9,145.780422700601,136.647440205077,1684.81,13.0266256523516,12.6361111111111,7.761117935494,12.3892937505187,3.12493772001857,-2.53636363636394,-2.51459897532354,7.27449232535554,-0.996747214840268,-0.452431556372826,7.73131462487364,6748.70976352134,21151.2015104894,-849.368421317915,-1833.46290446149,0.0456584576102322
16,147.005454020955,137.070000683323,1684.59,13.0317393853891,12.7777777777778,6.88824437171751,12.1377545347829,3.85194175807822,-2.76833721833743,-1.37020101802211,6.71645792852733,0.677976835173269,0.565033754702215,6.88743654718332,6699.08263424181,20980.411468531,-53.3248235023406,-1809.21940828449,0.04042385387886
16.1,148.245798145251,137.514801121851,1684.39,13.3103424296984,12.9611111111111,6.79181115976066,12.236199065828,4.65527659520893,-2.40188422688512,-1.2941137060097,6.50648855278007,1.45587611365429,0.823241410984807,6.78580934359846,7060.32715935033,20773.2352447549,290.502291113855,-1774.4137486758,0.0380533707624742
16.2,149.486137390599,137.970718782054,1684.13,13.3396092653833,13.1166666666667,9.02578587669172,12.2193142877672,4.87723932277934,-2.20137917638091,-2.90681269900233,8.42695467427412,1.41480936614651,0.184899335326371,9.00118215315288,7119.97455980654,20577.1815944053,680.550261592565,-1737.27475312578,0.0507116406275234
16.3,150.703507991756,138.504472820523,1683.88,13.2567669001568,13.2472222222222,13.9036154169404,11.8835667252518,5.64119198897329,-1.64306526806601,-5.7980535258747,12.6287987585669,0.45446549802361,0.12018058192713,13.7710725319311,7114.87319226676,20439.3933986012,2184.46214293363,-1724.70841964558,0.0791108920359185
16.4,151.813685247211,139.171659304424,1683.82,13.2658038808095,13.1277777777778,19.5459930724681,11.063224812622,7.06499749065501,-1.91635586635775,-8.85735667180793,17.3627851380202,-1.45834503060615,2.07087437945793,19.0912534338201,7091.85029321923,20291.4339020973,4917.61302911863,-1752.60522014102,0.110443281497553
16.5,152.931515853586,139.849962282477,1683.54,13.796138473766,13.1805555555556,23.3175807023576,9.90216436038826,9.27173874227992,-2.51305361305496,-11.056114707445,20.3845862590685,-2.4373223901185,6.2079845852992,22.4107564294643,7577.21832287516,20081.4953286711,7704.91296282362,-1825.81316445814,0.118087492278749
16.6,153.911525116331,140.706172957059,1683.31,14.7517544518153,13.0388888888889,22.4981921114027,8.67462963047916,11.6406787877771,-2.61909479409615,-11.0303468299227,19.5270104125646,-1.78772521400544,9.2399656393031,21.2670435467887,8672.31473216675,19895.7044475522,8864.39945255725,-1930.87379888218,0.0942640780447995
16.7,154.661823601875,142.207300365587,1683.24,15.8170547407568,13.1194444444444,16.3797765918459,7.59624738550826,13.5915675161455,-2.78308080808195,-9.12825998205967,13.5999005627141,-0.12106024532991,7.32376337011336,15.4785782599676,9950.35298852999,19700.3642517478,6502.67639404718,-1973.75917877025,0.0585630778527549
16.8,155.320229926685,143.697295268355,1682.53,16.3495479681761,13.5527777777778,8.87847652376318,6.79812845895508,14.6147097283656,-2.73923853923914,-6.77630177300591,5.36416594319607,2.03342159869182,1.63671384110952,8.8309198797115,10638.776324663,19498.7859020975,1333.63098223251,-1948.63123803928,0.0326451910391599
